run_name,experiment_code,experiment_description,model_kind,artifact_version,study_code,study_name,test_loss_ce,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_precision_fake,test_recall_fake,test_num_roc_thresholds,test_f1_fake,test_roc_auc
E02_spatial_vit_Eksperimen_utama_2,E02,Penurunan resolusi input model menjadi 112 x 112 untuk menguji ketahanan terhadap pengurangan informasi spasial,spatial_vit,latest,E02,Eksperimen utama 2,1.029980483658538,0.760519801980198,0.7382903248243722,0.7564376475398933,0.7435236220472441,0.7759149738615789,0.760519801980198,0.7648914155687222,0.8545454545454545,0.7690509583917718,1323,0.8095472440944882,0.8464532896022844
E02_spatiotemporal_videomae_Eksperimen_utama_2,E02,Penurunan resolusi input model menjadi 112 x 112 untuk menguji ketahanan terhadap pengurangan informasi spasial,spatiotemporal_videomae,latest,E02,Eksperimen utama 2,0.729960245550564,0.7843440594059405,0.759421126685781,0.7675019365446398,0.7629476975808543,0.7885164253747172,0.7843440594059405,0.7859967135118947,0.8493217054263565,0.8195418419822347,1346,0.834166071853438,0.8497442392341592
E03_spatial_vit_Eksperimen_utama_3,E03,Stride lebih rapat dengan 16 frame dan stride 1 untuk menguji pengaruh kepadatan sampling temporal,spatial_vit,latest,E03,Eksperimen utama 3,0.9038425792414363,0.8106435643564357,0.7879068376760497,0.79654283474206,0.7917286326379245,0.8142733743807988,0.8106435643564357,0.8120417933951757,0.8693759071117562,0.8401122019635343,1196,0.854493580599144,0.8805715490688973
E03_spatiotemporal_videomae_Eksperimen_utama_3,E03,Stride lebih rapat dengan 16 frame dan stride 1 untuk menguji pengaruh kepadatan sampling temporal,spatiotemporal_videomae,latest,E03,Eksperimen utama 3,0.7697254886279011,0.8292079207920792,0.8092672065826427,0.8318198130223912,0.8167086659992799,0.8417562830048709,0.8292079207920792,0.8321994485979386,0.9096541042849767,0.8237494156147732,1280,0.8645731108930323,0.9015861059819233
E04_spatial_vit_Eksperimen_utama_4,E04,Jumlah frame lebih pendek dengan 8 frame dan stride 3 untuk menguji pengaruh pengurangan evidensi temporal,spatial_vit,latest,E04,Eksperimen utama 4,0.9935136264798665,0.7843440594059405,0.7594709897610921,0.7679493414465037,0.7631409139251593,0.7887696731490554,0.7843440594059405,0.7860762708774832,0.85,0.8186068256194483,1326,0.8340080971659919,0.8585978090847148
E04_spatiotemporal_videomae_Eksperimen_utama_4,E04,Jumlah frame lebih pendek dengan 8 frame dan stride 3 untuk menguji pengaruh pengurangan evidensi temporal,spatiotemporal_videomae,latest,E04,Eksperimen utama 4,0.7074041751277919,0.8508663366336634,0.8350017462630945,0.8671973077003687,0.8425213661389559,0.8725455506242145,0.8508663366336634,0.8542536768075902,0.9510070767555797,0.8167367928938757,1272,0.8787726358148893,0.924600297614083
E05_spatial_vit_Eksperimen_utama_5,E05,Jumlah frame lebih panjang dengan 24 frame dan stride 1 untuk menguji pengaruh penambahan cakupan temporal,spatial_vit,latest,E05,Eksperimen utama 5,0.8667140680890862,0.8025990099009901,0.7815012961050637,0.8018740533814785,0.7880788168024446,0.8156626097746288,0.8025990099009901,0.8060316796642397,0.887055183084064,0.80411407199626,1240,0.8435507601765572,0.8843511794850737
E05_spatiotemporal_videomae_Eksperimen_utama_5,E05,Jumlah frame lebih panjang dengan 24 frame dan stride 1 untuk menguji pengaruh penambahan cakupan temporal,spatiotemporal_videomae,latest,E05,Eksperimen utama 5,0.6917798174268538,0.8511757425742574,0.8337806856991905,0.8631807152233582,0.8418962780955654,0.8687715116440367,0.8511757425742574,0.8542925997363212,0.9418976545842217,0.8260869565217391,1193,0.8801992528019925,0.9274301550048398
M01_spatial_vit_Eksperimen_Baseline,E01,"Konfigurasi dasar dengan resolusi 224 x 224, 16 frame, dan stride 3",spatial_vit,v11,M01,Eksperimen Baseline,0.9329794761125404,0.7923886138613861,0.7681422848990342,0.7675395767275881,0.767838536774039,0.792159008473485,0.7923886138613861,0.7922718199646813,0.8423507462686567,0.844319775596073,1202,0.8433341116040158,0.868301491021747
M01_spatiotemporal_videomae_Eksperimen_Baseline,E01,"Konfigurasi dasar dengan resolusi 224 x 224, 16 frame, dan stride 3",spatiotemporal_videomae,v12,M01,Eksperimen Baseline,0.6550344394353946,0.8582920792079208,0.8389977044208543,0.855806019606258,0.8457974145115374,0.8644157346819017,0.8582920792079208,0.8600033050250342,0.9175360158966717,0.863487611033193,1263,0.8896917148362236,0.9230581194365778
M02_spatial_vit_Eksperimen_40_Epoch,E01,"Konfigurasi dasar dengan resolusi 224 x 224, 16 frame, dan stride 3",spatial_vit,v14,M02,Eksperimen 40 Epoch,1.1624013746138846,0.7806311881188119,0.7580754056924282,0.7756583075519466,0.7638737398504591,0.7929768086776314,0.7806311881188119,0.7842318012775171,0.8659160696008188,0.791023842917251,1326,0.8267774248717322,0.8515259458486086
M02_spatiotemporal_videomae_Eksperimen_40_Epoch,E01,"Konfigurasi dasar dengan resolusi 224 x 224, 16 frame, dan stride 3",spatiotemporal_videomae,v15,M02,Eksperimen 40 Epoch,0.7995851941701799,0.8456064356435643,0.8255813576888198,0.8439850773783784,0.8326591525732019,0.8534353889928927,0.8456064356435643,0.8477235108508426,0.9116465863453815,0.8489948574100047,1203,0.8792060033890099,0.9177104332171193
M03_spatial_vit_Eksperimen_LR=5e-4,E01,"Konfigurasi dasar dengan resolusi 224 x 224, 16 frame, dan stride 3",spatial_vit,v13,M03,Eksperimen LR=5e-4 ,0.6843008747195253,0.6404702970297029,0.5896016872927483,0.5836422608575889,0.5853912613406285,0.6302189130827136,0.6404702970297029,0.6342984526231173,0.7151034786437692,0.7592332865825152,1524,0.7365079365079366,0.6429065150451662
M03_spatiotemporal_videomae_Eksperimen_LR=5e-4,E01,"Konfigurasi dasar dengan resolusi 224 x 224, 16 frame, dan stride 3",spatiotemporal_videomae,v14,M03,Eksperimen LR=5e-4,0.6774325937327772,0.604269801980198,0.5540729944355898,0.5529374954821087,0.5533781216293847,0.6002929422275441,0.604269801980198,0.6021706950913011,0.6968864468864469,0.7115474520804114,1549,0.7041406430719408,0.5740914921637844
M04_spatial_vit_Eksperimen_Focal_Loss,E01,"Konfigurasi dasar dengan resolusi 224 x 224, 16 frame, dan stride 3",spatial_vit,v12,M04,Eksperimen Focal Loss ,0.45898909918447534,0.8189975247524752,0.7973344155844155,0.8133682103846698,0.8035243046084063,0.8268391189565385,0.8189975247524752,0.821368834124058,0.8885,0.8307620383356709,1230,0.858661512442619,0.8818423329727575
M04_spatiotemporal_videomae_Eksperimen_Focal_Loss,E01,"Konfigurasi dasar dengan resolusi 224 x 224, 16 frame, dan stride 3",spatiotemporal_videomae,v13,M04,Eksperimen Focal Loss,0.4341032472577426,0.8357054455445545,0.8183699144140753,0.8472426641208216,0.8257917695413933,0.8549283127255294,0.8357054455445545,0.8392414519010647,0.9313304721030042,0.8115942028985508,1194,0.867349487884087,0.9213621725571415
