study_code,study_name,experiment_code,experiment_description,model_kind,artifact_version,test_accuracy,test_precision_fake,test_recall_fake,test_f1_fake,test_f1_macro,test_roc_auc,test_loss_ce,run_name
E02,Eksperimen utama 2,E02,Penurunan resolusi input model menjadi 112 x 112 untuk menguji ketahanan terhadap pengurangan informasi spasial,spatial_vit,latest,0.7605,0.8545,0.7691,0.8095,0.7435,0.8465,1.03,E02_spatial_vit_Eksperimen_utama_2
E02,Eksperimen utama 2,E02,Penurunan resolusi input model menjadi 112 x 112 untuk menguji ketahanan terhadap pengurangan informasi spasial,spatiotemporal_videomae,latest,0.7843,0.8493,0.8195,0.8342,0.7629,0.8497,0.73,E02_spatiotemporal_videomae_Eksperimen_utama_2
E03,Eksperimen utama 3,E03,Stride lebih rapat dengan 16 frame dan stride 1 untuk menguji pengaruh kepadatan sampling temporal,spatial_vit,latest,0.8106,0.8694,0.8401,0.8545,0.7917,0.8806,0.9038,E03_spatial_vit_Eksperimen_utama_3
E03,Eksperimen utama 3,E03,Stride lebih rapat dengan 16 frame dan stride 1 untuk menguji pengaruh kepadatan sampling temporal,spatiotemporal_videomae,latest,0.8292,0.9097,0.8237,0.8646,0.8167,0.9016,0.7697,E03_spatiotemporal_videomae_Eksperimen_utama_3
E04,Eksperimen utama 4,E04,Jumlah frame lebih pendek dengan 8 frame dan stride 3 untuk menguji pengaruh pengurangan evidensi temporal,spatial_vit,latest,0.7843,0.85,0.8186,0.834,0.7631,0.8586,0.9935,E04_spatial_vit_Eksperimen_utama_4
E04,Eksperimen utama 4,E04,Jumlah frame lebih pendek dengan 8 frame dan stride 3 untuk menguji pengaruh pengurangan evidensi temporal,spatiotemporal_videomae,latest,0.8509,0.951,0.8167,0.8788,0.8425,0.9246,0.7074,E04_spatiotemporal_videomae_Eksperimen_utama_4
E05,Eksperimen utama 5,E05,Jumlah frame lebih panjang dengan 24 frame dan stride 1 untuk menguji pengaruh penambahan cakupan temporal,spatial_vit,latest,0.8026,0.8871,0.8041,0.8436,0.7881,0.8844,0.8667,E05_spatial_vit_Eksperimen_utama_5
E05,Eksperimen utama 5,E05,Jumlah frame lebih panjang dengan 24 frame dan stride 1 untuk menguji pengaruh penambahan cakupan temporal,spatiotemporal_videomae,latest,0.8512,0.9419,0.8261,0.8802,0.8419,0.9274,0.6918,E05_spatiotemporal_videomae_Eksperimen_utama_5
M01,Eksperimen Baseline,E01,"Konfigurasi dasar dengan resolusi 224 x 224, 16 frame, dan stride 3",spatial_vit,v11,0.7924,0.8424,0.8443,0.8433,0.7678,0.8683,0.933,M01_spatial_vit_Eksperimen_Baseline
M01,Eksperimen Baseline,E01,"Konfigurasi dasar dengan resolusi 224 x 224, 16 frame, dan stride 3",spatiotemporal_videomae,v12,0.8583,0.9175,0.8635,0.8897,0.8458,0.9231,0.655,M01_spatiotemporal_videomae_Eksperimen_Baseline
M02,Eksperimen 40 Epoch,E01,"Konfigurasi dasar dengan resolusi 224 x 224, 16 frame, dan stride 3",spatial_vit,v14,0.7806,0.8659,0.791,0.8268,0.7639,0.8515,1.1624,M02_spatial_vit_Eksperimen_40_Epoch
